category,sentiment
,0.4193850299401195
Cat Food (main meal),0.19539710982658948
Cereal Bars / Breakfast on the Go,0.4927
Chocolate,0.5058757477050517
Chocolate Desserts,0.5785333333333333
Chocolate Funsize,0.5697318965517237
Chocolate Multipack,0.4228330484330484
Chocolate Pouch,0.5726285714285714
Chocolate Singles,0.4386601941747571
Christmas,0.551161083743842
Confectionery Seasonal,0.42128000000000004
Dog Treats,0.5448930232558138
Easter,0.4517040145985399
Fruity Confectionery,0.4459891787439619
Halloween,0.47117038834951497
Ice Cream,0.5227569230769231
Sweet Biscuits,0.19210568181818183
Valentines,0.1758978494623656
